model,t0_s,n_over_p_initial,p_over_n_initial,t_s,T9,T_K,rho_g_cm3,eta,eta10,baryon_sum,Y_n,X_n,Y_H1,X_H1,Y_H2,X_H2,Y_H3,X_H3,Y_He3,X_He3,Y_He4,X_He4,Y_Li7,X_Li7,Y_Be7,X_Be7,D/H,T/H,He3/H,Li7/H,Be7/H,Li7_plus_Be7_over_H
t0_10s,10.0,0.2,5.0,44.323908978975425,1.7608491741331647,1760849174.1331646,0.0002475962965088881,1.3466682537986277e-09,13.466682537986278,1.0000000000000016,1.0535583405096671e-21,1.0535583405096671e-21,0.6666708547938074,0.6666708547938074,2.0491792401294522e-19,4.0983584802589045e-19,5.293523388061111e-19,1.5880570164183335e-18,3.023382746140945e-06,9.070148238422835e-06,0.08332801954914446,0.3333120781965778,1.90222912852985e-21,1.3315603899708949e-20,1.1424087682583354e-06,7.996861377808348e-06,3.073749550313305e-19,7.94023520001985e-19,4.535045629189891e-06,2.8533257676581415e-21,1.7136023872105036e-06,1.7136023872105064e-06
t0_10s,10.0,0.2,5.0,44.91180555485329,1.7541807706329429,1754180770.632943,0.00024187265282136046,1.3305974350063358e-09,13.305974350063357,1.0000000000000013,1.0352833462428208e-21,1.0352833462428208e-21,0.6666708570255182,0.6666708570255182,2.0465531749332225e-19,4.093106349866445e-19,5.244297993458883e-19,1.573289398037665e-18,3.01899045077835e-06,9.05697135233505e-06,0.08332801850441547,0.3333120740176619,1.915498108400296e-21,1.3408486758802071e-20,1.1445693527050931e-06,8.011985468935652e-06,3.0698104669886395e-19,7.866397545645447e-19,4.528457212376379e-06,2.873229102808939e-21,1.7168432377737526e-06,1.7168432377737555e-06
t0_10s,10.0,0.2,5.0,45.50749978197385,1.7475165005658035,1747516500.5658035,0.00023628366159062557,1.3147790904460391e-09,13.147790904460392,1.0000000000000016,1.017283945782607e-21,1.017283945782607e-21,0.6666708592021242,0.6666708592021242,2.0440761947897498e-19,4.0881523895794997e-19,5.195617600657506e-19,1.5586852801972518e-18,3.01469774373207e-06,9.04409323119621e-06,0.08332801747661718,0.3333120699064687,1.9288477218477868e-21,1.3501934052934508e-20,1.1466854539074802e-06,8.026798177352362e-06,3.0660950101165557e-19,7.793377389969697e-19,4.5220181775157815e-06,2.893253387670557e-21,1.720017364010541e-06,1.720017364010544e-06
t0_10s,10.0,0.2,5.0,46.11109508561179,1.7408561247738101,1740856124.7738101,0.0002308261916429904,1.2992101319901298e-09,12.992101319901298,1.0000000000000013,9.995558722813277e-22,9.995558722813277e-22,0.6666708613249871,0.6666708613249871,2.0417301067540397e-19,4.0834602135080795e-19,5.14747072698444e-19,1.544241218095332e-18,3.0105023631273023e-06,9.031507089381907e-06,0.08332801646553101,0.33331206586212403,1.9422810356411624e-21,1.3595967249488137e-20,1.1487579715518045e-06,8.041305800862632e-06,3.0625758904418986e-19,7.721157509050277e-19,4.515725131804958e-06,2.9134032223651425e-21,1.723126115439761e-06,1.7231261154397639e-06
t0_10s,10.0,0.2,5.0,46.72269626283804,1.7341994092686028,1734199409.2686028,0.00022549718179174446,1.2838874940885188e-09,12.838874940885189,1.000000000000001,9.820949458857636e-22,9.820949458857636e-22,0.6666708633954346,0.6666708633954346,2.0394993663936398e-19,4.0789987327872797e-19,5.099846228585014e-19,1.529953868575504e-18,3.0064021015337502e-06,9.01920630460125e-06,0.08332801547094085,0.3333120618837634,1.9558011552079473e-21,1.369060808645563e-20,1.1507877855233653e-06,8.055514498663557e-06,3.0592297914539494e-19,7.649721187170061e-19,4.50957476410741e-06,2.9336832650024896e-21,1.726170811878991e-06,1.726170811878994e-06
t0_10s,10.0,0.2,5.0,47.34240950071456,1.7275461252183058,1727546125.2183058,0.00022029363939328846,1.2688081344726415e-09,12.688081344726415,1.0000000000000013,9.648970776653233e-22,9.648970776653233e-22,0.6666708654147591,0.6666708654147591,2.0373710153077697e-19,4.0747420306155395e-19,5.05273330909482e-19,1.5158199927284461e-18,3.002394807390063e-06,9.00718442217019e-06,0.08332801449263331,0.33331205797053326,1.9694112226797013e-21,1.378587855875791e-20,1.152775755269542e-06,8.069430286886795e-06,3.056037275665632e-19,7.579052229845592e-19,4.503563847089926e-06,2.9540982287480978e-21,1.7291527424891446e-06,1.7291527424891475e-06
t0_10s,10.0,0.2,5.0,47.970342394730736,1.7208960489346625,1720896048.9346626,0.00021521263892859517,1.2539690348248365e-09,12.539690348248365,1.0000000000000016,9.479582656097245e-22,9.479582656097245e-22,0.6666708673842188,0.6666708673842188,2.0353340908137683e-19,4.0706681816275366e-19,5.006121502979216e-19,1.5018364508937648e-18,2.9984783821394385e-06,8.995435146418316e-06,0.0833280135303975,0.33331205412159,1.983114420981788e-21,1.3881800946872518e-20,1.1547227208877974e-06,8.083059046214582e-06,3.0529818991486775e-19,7.509134938836416e-19,4.497689232926001e-06,2.9746528879577854e-21,1.7320731674064624e-06,1.7320731674064654e-06
t0_10s,10.0,0.2,5.0,48.6066039674844,1.714248961860395,1714248961.8603952,0.00021025132060971887,1.2393672014140539e-09,12.393672014140538,1.0000000000000013,9.312745906843085e-22,9.312745906843085e-22,0.6666708693050395,0.6666708693050395,2.0333793053650925e-19,4.066758610730185e-19,4.960000661150447e-19,1.488000198345134e-18,2.9946507785331787e-06,8.983952335599535e-06,0.083328012584025,0.3333120503361,1.996913976131937e-21,1.3978397832923558e-20,1.15662950374725e-06,8.09640652623075e-06,3.050049730663583e-19,7.439954090570841e-19,4.491947850751159e-06,2.995352081625508e-21,1.734933318674866e-06,1.734933318674869e-06
t0_10s,10.0,0.2,5.0,49.251304687610194,1.7076046505567712,1707604650.5567713,0.00020540688901107146,1.2249996656988922e-09,12.249996656988921,1.0000000000000013,9.148422139899691e-22,9.148422139899691e-22,0.6666708711784156,0.6666708711784156,2.0314987559804123e-19,4.0629975119608245e-19,4.914360938925597e-19,1.4743082816776793e-18,2.99090999903737e-06,8.972729997112109e-06,0.08332801165330976,0.33331204661323904,2.0108131590612718e-21,1.4075692113428903e-20,1.1584969070703818e-06,8.109478349492673e-06,3.047228915805951e-19,7.37149491808291e-19,4.486336704272981e-06,3.0162007161148857e-21,1.7377344011185135e-06,1.7377344011185165e-06
t0_10s,10.0,0.2,5.0,49.904556488959635,1.700962906691351,1700962906.691351,0.0002006766117251609,1.210863484898872e-09,12.10863484898872,1.0000000000000013,8.98657378925829e-22,8.98657378925829e-22,0.6666708730055099,0.6666708730055099,2.0296857145630456e-19,4.0593714291260913e-19,4.869192795414679e-19,1.4607578386244037e-18,2.987254096227149e-06,8.961762288681446e-06,0.08332801073804821,0.33331204295219286,2.0248152849278783e-21,1.4173706994495147e-20,1.1603257157042852e-06,8.122280009929996e-06,3.0445093624875834e-19,7.303743110094502e-19,4.480852872362492e-06,3.0372037641295657e-21,1.7404775919986764e-06,1.7404775919986794e-06
