model,t0_s,t_s,n_over_p_initial,p_over_n_initial,T9,T_K,rho_g_cm3,eta,eta10,baryon_sum,Y_n,X_n,Y_H1,X_H1,Y_H2,X_H2,Y_H3,X_H3,Y_He3,X_He3,Y_He4,X_He4,Y_Li6,X_Li6,Y_Li7,X_Li7,Y_Be7,X_Be7,D/H,T/H,He3/H,Li7/H,Be7/H,Li7_plus_Be7_over_H
pynucastro,50.0,50.0,0.14285714285714285,7.0,1.7,1700000000.0,0.0002,1.2088326550782676e-09,12.088326550782677,1.0,0.125,0.125,0.875,0.875,1e-27,2e-27,6.628191391730481e-56,1.9884574175191446e-55,2.1017800238311734e-55,6.30534007149352e-55,4.035589066363353e-85,1.6142356265453412e-84,0.0,0.0,0.0,0.0,0.0,0.0,1.1428571428571429e-27,7.575075876263407e-56,2.4020343129499124e-55,0.0,0.0,0.0
pynucastro,50.0,200.0,0.14285714285714285,7.0,1.0,1000000000.0,2e-05,5.93899483439953e-10,5.938994834399531,0.9999999999999993,1.4874148511105224e-13,1.4874148511105224e-13,0.7500996274333165,0.7500996274333165,2.044024808601729e-08,4.088049617203458e-08,3.574422530748154e-12,1.0723267592244462e-11,3.960867583510729e-06,1.1882602750532187e-05,0.062471996437654616,0.24988798575061846,2.0687330548484427e-17,1.2412398329090658e-16,3.303283464665648e-16,2.3122984252659534e-15,6.61888490230139e-08,4.6332194316109736e-07,2.7250044312059627e-08,4.7652637063413535e-12,5.280455340397897e-06,4.403792968100505e-16,8.824007718747742e-08,8.824007762785672e-08
pynucastro,50.0,1000.0,0.14285714285714285,7.0,0.4,400000000.0,2e-06,9.279679428749265e-10,9.279679428749265,0.9999999999999999,1.472239703409494e-15,1.472239703409494e-15,0.7500996356596161,0.7500996356596161,4.189767788861841e-09,8.379535577723682e-09,1.7268543996279084e-13,5.180563198883725e-13,3.947825926411111e-06,1.1843477779233333e-05,0.06247200386944707,0.24988801547778827,1.5757538512586507e-18,9.454523107551904e-18,3.527114416835411e-17,2.4689800917847877e-16,7.100068013637583e-08,4.970047609546308e-07,5.585615016567072e-09,2.3021666956408557e-13,5.263068716117301e-06,4.7021945474400443e-17,9.465499883084181e-08,9.465499887786376e-08
