model,t0_s,t_s,T9,rho_g_cm3,eta10,D/H,He3/H,X_He4,Li7/H,Be7/H,Li7_plus_Be7_over_H,baryon_sum
t0_50s,50.0,100000.0,0.0290678631891365,2.752180285130095e-09,33.2751873190254,4.979074004147803e-09,5.2093990572700704e-06,0.2498882016544456,1.01732626674058e-16,9.013511400573478e-08,9.013511410746741e-08,1.000000000000289
t0_10s,10.0,100000.0,0.0290678631891365,2.752180285130095e-09,33.2751873190254,4.0136454583180583e-19,4.5429661750526475e-06,0.2499794669540906,2.694339178387398e-18,1.6194454733892517e-06,1.619445473391946e-06,0.999999999999981
