model,t0_s,t_s,T9,rho_g_cm3,eta10,D/H,He3/H,X_He4,Li7/H,Be7/H,Li7_plus_Be7_over_H,baryon_sum
t0_10s,10.0,50.0,1.7,0.0001999999999999,12.088326550782666,2.9673729764903543e-19,4.752831692729925e-06,0.249979550719348,2.486240672928974e-21,1.5308762204449108e-06,1.5308762204449131e-06,1.0000000000000009
t0_10s,10.0,200.0,1.0,2e-05,5.938994834399529,2.943857303197592e-19,4.5540948602674495e-06,0.2499794737908238,6.553613685644378e-21,1.6142166582794273e-06,1.614216658279434e-06,1.0000000000000004
t0_10s,10.0,1000.0,0.4,2.000000000000001e-06,9.27967942874927,3.5468313487772417e-19,4.543059785642231e-06,0.2499794670034889,7.141584043704025e-20,1.6194032912611454e-06,1.6194032912612168e-06,1.000000000000001
t0_50s,50.0,50.0,1.7,0.0001999999999999,12.088326550782666,1.1428571428571429e-27,2.4020343129499128e-55,1.6142356265453415e-84,0.0,0.0,0.0,1.0
t0_50s,50.0,200.0,1.0,2e-05,5.938994834399529,2.6921240248150148e-08,5.225594136636845e-06,0.2498881718958795,4.254564642244502e-16,8.403179837733505e-08,8.40317988027915e-08,1.000000000000001
t0_50s,50.0,1000.0,0.4,2.000000000000001e-06,9.27967942874927,5.673982457605428e-09,5.209301190541982e-06,0.2498882009762658,4.719510074906394e-17,9.008675061320587e-08,9.008675066040096e-08,1.000000000000001
