model,t0_s,n_over_p_initial,p_over_n_initial,t_s,T9,T_K,rho_g_cm3,eta,eta10,baryon_sum,Y_n,X_n,Y_H1,X_H1,Y_H2,X_H2,Y_H3,X_H3,Y_He3,X_He3,Y_He4,X_He4,Y_Li7,X_Li7,Y_Be7,X_Be7,D/H,T/H,He3/H,Li7/H,Be7/H,Li7_plus_Be7_over_H
pynucastro,50.0,0.1428571428571428,7.0,50.0,1.7,1700000000.0,0.0002,1.208832655078267e-09,12.088326550782677,1.0,0.125,0.125,0.875,0.875,1e-27,2e-27,6.628191391730481e-56,1.9884574175191446e-55,2.101780023831173e-55,6.3053400714935194e-55,4.035589066363353e-85,1.6142356265453412e-84,0.0,0.0,0.0,0.0,1.1428571428571427e-27,7.5750758762634055e-56,2.4020343129499124e-55,0.0,0.0,0.0
pynucastro,50.0,0.1428571428571428,7.0,50.54666513868065,1.6945209117426014,1694520911.7426014,0.0001961935710951,1.1973660109351463e-09,11.973660109351464,1.0,0.0277611469592261,0.0277611469592261,0.7779880172451614,0.7779880172451614,0.0028762226365366,0.0057524452730732,0.0001563360861031,0.0004690082583093,7.380663954966786e-06,2.214199186490036e-05,0.047001801219031,0.1880072048761243,5.056126343624171e-09,3.53928844053692e-08,4.794458510309835e-13,3.356120957216881e-12,0.0036970012041075,0.0002009492211161,9.486860711687509e-06,6.4989771455964115e-09,6.162637989318786e-13,6.499593409395344e-09
pynucastro,50.0,0.1428571428571428,7.0,51.09930713283831,1.6890433025404783,1689043302.5404782,0.0001924613415456,1.1860530345243594e-09,11.860530345243598,1.0000000000000002,0.0070390732420778,0.0070390732420778,0.7572063972713007,0.7572063972713007,0.0014483991326413,0.0028967982652826,7.785906171653023e-05,0.0002335771851495,7.259048547898762e-06,2.1777145643696286e-05,0.0581505880401616,0.2326023521606465,3.5305689417869702e-09,2.4713982592508788e-08,2.273788920686354e-12,1.5916522444804478e-11,0.00191281946093,0.0001028240939288,9.586618092580518e-06,4.66262429175172e-09,3.002865439172557e-12,4.6656271571908925e-09
pynucastro,50.0,0.1428571428571428,7.0,51.65799132924347,1.6835670635384588,1683567063.5384588,0.0001888018736559,1.1748921152530255e-09,11.748921152530258,1.0000000000000002,0.0018888348422314,0.0018888348422314,0.7520235991392284,0.7520235991392284,0.0007650026516658,0.0015300053033316,4.042878405900168e-05,0.000121286352177,7.322684117520124e-06,2.196805235256037e-05,0.0611035729630271,0.2444142918521084,2.056664362655628e-09,1.4396650538589393e-08,8.845742548039088e-12,6.192019783627361e-11,0.0010172588367458,5.375999384231659e-05,9.73730628387423e-06,2.7348401898686427e-09,1.1762586384475151e-11,2.746602776253118e-09
pynucastro,50.0,0.1428571428571428,7.0,52.22278378912277,1.6780920882289028,1678092088.2289028,0.0001852137566939,1.1638816553570202e-09,11.6388165535702,1.0000000000000002,0.0005378865664352,0.0005378865664352,0.7506551913298859,0.7506551913298859,0.0004226715083216,0.0008453430166432,2.1714879874107763e-05,6.514463962232328e-05,7.436601187054461e-06,2.2309803561163382e-05,0.0619685290554574,0.2478741162218298,1.1719127599956592e-09,8.203389319969616e-09,3.1233297448607e-11,2.1863308214024902e-10,0.0005630701195482,2.8927902084626835e-05,9.90681377141951e-06,1.561186512171399e-09,4.160804828815351e-11,1.602794560459553e-09
pynucastro,50.0,0.1428571428571428,7.0,52.79375129597022,1.6726182724472676,1672618272.4472675,0.0001816956064189,1.153020070067229e-09,11.530200700672292,1.0000000000000002,0.0001659798785209,0.0001659798785209,0.7502740213752898,0.7502740213752898,0.0002466719275021,0.0004933438550043,1.2111182423157206e-05,3.6333547269471615e-05,7.501874392558254e-06,2.250562317767476e-05,0.0622519525599669,0.2490078102398678,6.847522734547375e-10,4.793265914183165e-09,9.82291973263572e-11,6.876043812845002e-10,0.0003287757812139,1.6142345433947992e-05,9.998845993370452e-06,9.126695766428815e-10,1.3092442831260259e-10,1.043594004955484e-09
pynucastro,50.0,0.1428571428571428,7.0,53.37096136344389,1.6671455143676983,1667145514.3676982,0.0001782460646171,1.142305787767423e-09,11.423057877674234,1.0000000000000004,5.6935049002464185e-05,5.6935049002464185e-05,0.7501601334736223,0.7501601334736223,0.0001533561805083,0.0003067123610167,7.064676664726829e-06,2.1194029994180487e-05,7.4300837023488435e-06,2.229025110704653e-05,0.0623581825158336,0.2494327300633345,4.183665336987562e-10,2.928565735891293e-09,2.6333675196828556e-10,1.8433572637779987e-09,0.0002044312589609,9.417558131240313e-06,9.904663512234092e-06,5.57702969046764e-10,3.51040718131611e-10,9.087436871783752e-10
pynucastro,50.0,0.1428571428571428,7.0,53.95448224334925,1.661673714498649,1661673714.4986491,0.0001748637986434,1.1317372501439543e-09,11.317372501439545,1.0000000000000004,2.211496262980072e-05,2.211496262980072e-05,0.7501228604921937,0.7501228604921937,0.0001016971582795,0.000203394316559,4.341918950089466e-06,1.30257568502684e-05,7.207943904952223e-06,2.162383171485667e-05,0.0624042436625133,0.2496169746500535,2.690513889813657e-10,1.8833597228695607e-09,5.86662804190419e-10,4.106639629332933e-09,0.0001355740021211,5.788277066026908e-06,9.60901778173075e-06,3.5867642909166564e-10,7.820889551419343e-10,1.1407653842336e-09
pynucastro,50.0,0.1428571428571428,7.0,54.54438293370932,1.6562027756785225,1656202775.6785226,0.0001715475009715,1.1213129123275424e-09,11.213129123275424,1.0000000000000002,9.754533516766835e-06,9.754533516766835e-06,0.7501093097709071,0.7501093097709071,7.150900133116521e-05,0.0001430180026623,2.8196411303837504e-06,8.45892339115125e-06,6.895352161501398e-06,2.06860564845042e-05,0.0624271909388169,0.2497087637552678,1.8183005134970848e-10,1.2728103594479595e-09,1.0978514392692584e-09,7.684960074884811e-09,9.53314408976006e-05,3.758973650446899e-06,9.192463113952456e-06,2.424047388576496e-10,1.4635886063120007e-09,1.7059933451696503e-09
pynucastro,50.0,0.1428571428571428,7.0,55.14073318692346,1.6507326030713272,1650732603.0713272,0.0001682958887497,1.1110312430273456e-09,11.110312430273456,1.0000000000000002,4.826732674119491e-06,4.826732674119491e-06,0.7501038328286022,0.7501038328286022,5.28049263435522e-05,0.0001056098526871,1.92744673133388e-06,5.78234019400164e-06,6.560947765400214e-06,1.9682843296200644e-05,0.0624400630036375,0.2497602520145503,1.2835439592555212e-10,8.984807714788644e-10,1.784216491612371e-09,1.2489515441286598e-08,7.039682245646926e-05,2.569573233702299e-06,8.746719425041764e-06,1.7111550469157639e-10,2.378626016193231e-09,2.5497415208848075e-09
