model,t0_s,t_s,n_over_p_initial,p_over_n_initial,T9,T_K,rho_g_cm3,eta,eta10,baryon_sum,Y_n,X_n,Y_H1,X_H1,Y_H2,X_H2,Y_H3,X_H3,Y_He3,X_He3,Y_He4,X_He4,Y_Li7,X_Li7,Y_Be7,X_Be7,D/H,T/H,He3/H,Li7/H,Be7/H,Li7_plus_Be7_over_H
pynucastro,50.0,50.0,0.1428571428571428,7.0,1.7,1700000000.0,0.0002,1.208832655078267e-09,12.088326550782677,1.0,0.125,0.125,0.875,0.875,1e-27,2e-27,6.628191391730481e-56,1.9884574175191446e-55,2.101780023831173e-55,6.3053400714935194e-55,4.035589066363353e-85,1.6142356265453412e-84,0.0,0.0,0.0,0.0,1.1428571428571427e-27,7.5750758762634055e-56,2.4020343129499124e-55,0.0,0.0,0.0
pynucastro,50.0,200.0,0.1428571428571428,7.0,1.0,1000000000.0,2e-05,5.93899483439953e-10,5.938994834399531,1.0000000000000029,1.4882645420260172e-13,1.4882645420260172e-13,0.7500996276609393,0.7500996276609393,2.0446044273550522e-08,4.0892088547101044e-08,3.5762215950537293e-12,1.0728664785161187e-11,3.960671587272251e-06,1.1882014761816754e-05,0.0624719965309699,0.2498879861238798,3.3049580043921193e-16,2.3134706030744832e-15,6.618535049520982e-08,4.632974534664688e-07,2.7257771527374444e-08,4.767662138702269e-12,5.280194045186965e-06,4.406025389851318e-16,8.8235413076524e-08,8.823541351712654e-08
pynucastro,50.0,1000.0,0.1428571428571428,7.0,0.4,400000000.0,2e-06,9.279679428749263e-10,9.279679428749263,1.0000000000000029,1.473234979810094e-15,1.473234979810094e-15,0.7500996358869646,0.7500996358869646,4.1911713085062234e-09,8.382342617012445e-09,1.72792165733385e-13,5.18376497200155e-13,3.947630440809236e-06,1.184289132242771e-05,0.0624720039650639,0.2498880158602559,3.529301569291189e-17,2.4705110985038325e-16,7.0996942442859e-08,4.96978597100013e-07,5.587486125826898e-09,2.303589516198935e-13,5.262808101674802e-06,4.70511036192935e-17,9.465001587276841e-08,9.465001591981953e-08
